adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
False,/gcGaSXzmodu53ABb0wOWrVWjKeg.jpg,"[18, 10749]",1360,Frida,en,Frida,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.",3.871,/a4hgR6aKoohB6MHni171jbi9BkU.jpg,2002-08-29,False,False,7.386,2181
False,/ecZ6MQ3Y63dtn35km6odO0e39aQ.jpg,"[27, 35]",763,Braindead,en,Braindead,"When a Sumatran rat-monkey bites Lionel Cosgrove's mother, she's transformed into a zombie and begins killing (and transforming) the entire town while Lionel races to keep things under control.",5.0432,/pa39D8TQs6aNw3hiUs4jLjHVUB0.jpg,1992-08-13,False,False,7.386,1857
False,/ooVOGpJA40wWyohGUQ1T7ibrGRR.jpg,"[18, 53]",570661,The Collini Case,de,Der Fall Collini,A young lawyer stumbles upon a vast conspiracy while investigating a brutal murder case.,1.7194,/crfpuX2d6TAGxQl3lnV2t3FIWmx.jpg,2019-04-18,False,False,7.4,435
False,/wKzY5EGRweXc91eBs1jk9ZSXcp0.jpg,[27],27632,Black Sunday,it,La maschera del demonio,"A vengeful witch, Asa Vajda, and her fiendish servant, Igor Jauvitch, return from the grave and begin a bloody campaign to possess the body of the witch's beautiful look-alike descendant: Katia. Only a handsome doctor with the help of family members stand in her way.",2.3393,/x41Zx8GeZhducquhOq9nE7z1GBG.jpg,1960-08-11,False,False,7.4,597
False,/mhpDSuNyHPMsccI7zISEaskTgOQ.jpg,"[36, 10752, 18]",9361,The Last of the Mohicans,en,The Last of the Mohicans,"In war-torn colonial America, in the midst of a bloody battle between British, the French and Native American allies, the aristocratic daughter of a British Colonel and her party are captured by a group of Huron warriors. Fortunately, a group of three Mohican trappers comes to their rescue.",7.7434,/qzJMPWRtZveBkxXOv3ucWhoJuyj.jpg,1992-08-26,False,False,7.385,3441
False,/9s58ybtK5rj4QGmAtzOMzVeiY5P.jpg,"[12, 16, 10751]",297270,Tinker Bell and the Legend of the NeverBeast,en,Tinker Bell and the Legend of the NeverBeast,"An ancient myth of a massive creature sparks the curiosity of Tinker Bell and her good friend Fawn, an animal fairy who’s not afraid to break the rules to help an animal in need. But this creature is not welcome in Pixie Hollow — and the scout fairies are determined to capture the mysterious beast, who they fear will destroy their home. Fawn must convince her fairy friends to risk everything to rescue the NeverBeast.",7.2798,/3S0mmmpYStB3GqodRghcfOt81wQ.jpg,2014-12-12,False,False,7.384,1196
False,/ppdgXQ7rE9Whf3rCzaawQzmLVnx.jpg,"[12, 14, 18]",20312,Interstate 60,en,Interstate 60,An aspiring painter meets various characters and learns valuable lessons while traveling across America.,3.9707,/zZQt29qBWLoVVOo8HEFzFYRAgYQ.jpg,2002-04-13,False,False,7.384,783
False,/oxQJT3CCwxRRDgnPUZvT6xmts61.jpg,"[28, 35]",11230,Drunken Master,cn,醉拳,"After getting into trouble, a mischievous young man is sent to train under a brutal, but slovenly old beggar, who teaches him the secret of the Drunken Fist.",7.6424,/cf43J2SH8tECZVl9N5n0Q6Ckche.jpg,1978-10-05,False,False,7.383,1127
False,/yhfHeIsR5Ki02b5SqBuLqAsLDCk.jpg,"[80, 18, 9648]",3009,The Trial,en,Le Procès,"Arrested for an unnamed crime, Josef K. is trapped in a surreal bureaucratic maze where justice is unknowable and guilt is assumed.",2.2682,/4qDUe5HqB8pXNplSBlsoyVjNP3r.jpg,1962-08-25,False,False,7.384,563
False,/vr6n6ZFUZvedvIlhfYcbCWcaKyW.jpg,"[12, 14, 28]",58,Pirates of the Caribbean: Dead Man's Chest,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow’s got a blood debt to pay: he owes his soul to the legendary Davy Jones, ghastly Ruler of the Ocean Depths. To escape eternal servitude aboard the Flying Dutchman, ever-crafty Jack must track down the still-beating heart of Jones. But he won’t do it alone: Will Turner and Elizabeth Swann are drawn back into another one of his perilous quests—assuming they can evade execution for aiding a pirate.",17.2031,/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,2006-07-06,False,False,7.385,17269
False,/8LHSDyRizQ4kQz5rEHPKyXPvMG3.jpg,"[16, 10752, 878]",736069,Justice Society: World War II,en,Justice Society: World War II,"When the Flash finds himself dropped into the middle of World War II, he joins forces with Wonder Woman and her top-secret team known as the Justice Society of America.",2.2427,/tOUJvmdjppmPYZOoykWmerSspMT.jpg,2021-04-27,False,False,7.383,607
False,/w7MsyOpP003FYhsiTgVHa3rNsrz.jpg,"[18, 12, 10751]",508763,A Dog's Way Home,en,A Dog's Way Home,"The adventure of Bella, a dog who embarks on an epic 400-mile journey home after she is separated from her beloved human.",4.2613,/pZn87R7gtmMCGGO8KeaAfZDhXLg.jpg,2019-01-10,False,False,7.383,1188
False,/lmVtUoozJqZdXRB3pFM5aOzZprk.jpg,"[18, 35]",380225,Like Crazy,it,La pazza gioia,Two mental patients with opposite personalities ditch their Tuscan hospital and embark on an unpredictable exploration of the real world.,1.0542,/pSVdOFu22jGWRHyCoJwIJTYuDBD.jpg,2016-05-17,False,False,7.383,903
False,/lmVtUoozJqZdXRB3pFM5aOzZprk.jpg,"[18, 35]",380225,Like Crazy,it,La pazza gioia,Two mental patients with opposite personalities ditch their Tuscan hospital and embark on an unpredictable exploration of the real world.,1.0542,/pSVdOFu22jGWRHyCoJwIJTYuDBD.jpg,2016-05-17,False,False,7.383,903
False,/kw44acMdZBc1NAvuHAdMRO4i4pi.jpg,"[16, 10751, 10402, 35, 27]",88018,The Skeleton Dance,en,The Skeleton Dance,"The clock strikes midnight, the bats fly from the belfry, a dog howls at the full moon, and two black cats fight in the cemetery: a perfect time for four skeletons to come out and dance a bit.",0.8884,/zYwp7SK4HRc9sf4oog3XP02dJv4.jpg,1929-08-29,False,False,7.383,326
